"","unlist.htweet."
"tweet_ 10558",90
"tweet_ 10559",80
"tweet_ 10560",237
"tweet_ 10561",205
"tweet_ 10562",237
"tweet_ 10563",123
"tweet_ 10564",133
"tweet_ 10565",255
"tweet_ 10566",236
"tweet_ 10567",237
"tweet_ 10568",43
"tweet_ 10569",70
"tweet_ 10570",27
"tweet_ 10571",162
"tweet_ 10572",208
"tweet_ 10573",230
"tweet_ 10574",186
"tweet_ 10575",230
"tweet_ 10576",196
"tweet_ 10577",49
"tweet_ 10578",242
"tweet_ 10579",132
"tweet_ 10580",152
"tweet_ 10581",242
"tweet_ 10582",14
"tweet_ 10583",103
"tweet_ 10584",88
"tweet_ 10585",170
"tweet_ 10586",222
"tweet_ 10587",114
"tweet_ 10588",268
"tweet_ 10589",144
"tweet_ 10590",44
"tweet_ 10591",245
"tweet_ 10592",203
"tweet_ 10593",230
"tweet_ 10594",205
"tweet_ 10595",164
"tweet_ 10596",113
"tweet_ 10597",162
"tweet_ 10598",199
"tweet_ 10599",9
"tweet_ 10600",129
"tweet_ 10601",12
"tweet_ 10602",125
"tweet_ 10603",129
"tweet_ 10604",236
"tweet_ 10605",205
"tweet_ 10606",205
"tweet_ 10607",9
"tweet_ 10608",80
"tweet_ 10609",125
"tweet_ 10610",97
"tweet_ 10611",36
"tweet_ 10612",93
"tweet_ 10613",49
"tweet_ 10614",160
"tweet_ 10615",182
"tweet_ 10616",12
"tweet_ 10617",130
"tweet_ 10618",52
"tweet_ 10619",227
"tweet_ 10620",52
"tweet_ 10621",93
"tweet_ 10622",147
"tweet_ 10623",252
"tweet_ 10624",137
"tweet_ 10625",89
"tweet_ 10626",236
"tweet_ 10627",176
"tweet_ 10628",122
"tweet_ 10629",165
"tweet_ 10630",215
"tweet_ 10631",16
"tweet_ 10632",112
"tweet_ 10633",77
"tweet_ 10634",215
"tweet_ 10635",13
"tweet_ 10636",165
"tweet_ 10637",229
"tweet_ 10638",15
"tweet_ 10639",45
"tweet_ 10640",158
"tweet_ 10641",116
"tweet_ 10642",19
"tweet_ 10643",194
"tweet_ 10644",87
"tweet_ 10645",162
"tweet_ 10646",170
"tweet_ 10647",39
"tweet_ 10648",27
"tweet_ 10649",100
"tweet_ 10650",165
"tweet_ 10651",113
"tweet_ 10652",108
"tweet_ 10653",182
"tweet_ 10654",37
"tweet_ 10655",85
"tweet_ 10656",53
"tweet_ 10657",47
"tweet_ 10658",253
"tweet_ 10659",174
"tweet_ 10660",51
"tweet_ 10661",73
"tweet_ 10662",24
"tweet_ 10663",232
"tweet_ 10664",223
"tweet_ 10665",186
"tweet_ 10666",215
"tweet_ 10667",161
"tweet_ 10668",187
"tweet_ 10669",233
"tweet_ 10670",224
"tweet_ 10671",186
"tweet_ 10672",182
"tweet_ 10673",2
"tweet_ 10674",51
"tweet_ 10675",233
"tweet_ 10676",100
"tweet_ 10677",139
"tweet_ 10678",233
"tweet_ 10679",232
"tweet_ 10680",264
"tweet_ 10681",76
"tweet_ 10682",161
"tweet_ 10683",109
"tweet_ 10684",37
"tweet_ 10685",74
"tweet_ 10686",136
"tweet_ 10687",62
"tweet_ 10688",65
"tweet_ 10689",14
"tweet_ 10690",172
"tweet_ 10691",58
"tweet_ 10692",130
"tweet_ 10693",244
"tweet_ 10694",90
"tweet_ 10695",71
"tweet_ 10696",88
"tweet_ 10697",126
"tweet_ 10698",187
"tweet_ 10699",113
"tweet_ 10700",176
"tweet_ 10701",215
"tweet_ 10702",79
"tweet_ 10703",64
"tweet_ 10704",133
"tweet_ 10705",54
"tweet_ 10706",215
"tweet_ 10707",212
"tweet_ 10708",90
"tweet_ 10709",60
"tweet_ 10710",162
"tweet_ 10711",210
"tweet_ 10712",118
"tweet_ 10713",172
"tweet_ 10714",78
"tweet_ 10715",146
"tweet_ 10716",76
"tweet_ 10717",4
"tweet_ 10718",149
"tweet_ 10719",58
"tweet_ 10720",230
"tweet_ 10721",29
"tweet_ 10722",161
"tweet_ 10723",127
"tweet_ 10724",176
"tweet_ 10725",212
"tweet_ 10726",260
"tweet_ 10727",13
"tweet_ 10728",106
"tweet_ 10729",76
"tweet_ 10730",228
"tweet_ 10731",58
"tweet_ 10732",154
"tweet_ 10733",188
"tweet_ 10734",222
"tweet_ 10735",180
"tweet_ 10736",55
"tweet_ 10737",110
"tweet_ 10738",44
"tweet_ 10739",205
"tweet_ 10740",216
"tweet_ 10741",207
"tweet_ 10742",37
"tweet_ 10743",85
"tweet_ 10744",200
"tweet_ 10745",4
"tweet_ 10746",20
"tweet_ 10747",19
"tweet_ 10748",246
"tweet_ 10749",260
"tweet_ 10750",86
"tweet_ 10751",161
"tweet_ 10752",174
"tweet_ 10753",158
"tweet_ 10754",16
"tweet_ 10755",79
"tweet_ 10756",162
"tweet_ 10757",215
"tweet_ 10758",191
"tweet_ 10759",7
"tweet_ 10760",92
"tweet_ 10761",160
"tweet_ 10762",47
"tweet_ 10763",152
"tweet_ 10764",236
"tweet_ 10765",33
"tweet_ 10766",189
"tweet_ 10767",110
"tweet_ 10768",152
"tweet_ 10769",78
"tweet_ 10770",113
"tweet_ 10771",56
"tweet_ 10772",87
"tweet_ 10773",172
"tweet_ 10774",24
"tweet_ 10775",134
"tweet_ 10776",237
"tweet_ 10777",230
"tweet_ 10778",250
"tweet_ 10779",9
"tweet_ 10780",39
"tweet_ 10781",7
"tweet_ 10782",242
"tweet_ 10783",242
"tweet_ 10784",198
"tweet_ 10785",44
"tweet_ 10786",4
"tweet_ 10787",162
"tweet_ 10788",71
"tweet_ 10789",5
"tweet_ 10790",75
"tweet_ 10791",97
"tweet_ 10792",29
"tweet_ 10793",34
"tweet_ 10794",193
"tweet_ 10795",179
"tweet_ 10796",237
"tweet_ 10797",165
"tweet_ 10798",100
"tweet_ 10799",33
"tweet_ 10800",212
"tweet_ 10801",30
"tweet_ 10802",133
"tweet_ 10803",220
"tweet_ 10804",205
"tweet_ 10805",45
"tweet_ 10806",48
"tweet_ 10807",113
"tweet_ 10808",158
"tweet_ 10809",200
"tweet_ 10810",113
"tweet_ 10811",103
"tweet_ 10812",95
"tweet_ 10813",36
"tweet_ 10814",94
"tweet_ 10815",235
"tweet_ 10816",109
"tweet_ 10817",11
"tweet_ 10818",103
"tweet_ 10819",19
"tweet_ 10820",245
"tweet_ 10821",223
"tweet_ 10822",59
"tweet_ 10823",31
"tweet_ 10824",40
"tweet_ 10825",104
"tweet_ 10826",186
"tweet_ 10827",264
"tweet_ 10828",58
"tweet_ 10829",27
"tweet_ 10830",165
"tweet_ 10831",229
"tweet_ 10832",58
"tweet_ 10833",19
"tweet_ 10834",257
"tweet_ 10835",17
"tweet_ 10836",232
"tweet_ 10837",174
"tweet_ 10838",222
"tweet_ 10839",129
"tweet_ 10840",180
"tweet_ 10841",223
"tweet_ 10842",106
"tweet_ 10843",11
"tweet_ 10844",160
"tweet_ 10845",154
"tweet_ 10846",11
"tweet_ 10847",140
"tweet_ 10848",12
"tweet_ 10849",252
"tweet_ 10850",89
"tweet_ 10851",82
"tweet_ 10852",54
"tweet_ 10853",15
"tweet_ 10854",242
"tweet_ 10855",200
"tweet_ 10856",76
"tweet_ 10857",119
"tweet_ 10858",39
"tweet_ 10859",140
"tweet_ 10860",102
"tweet_ 10861",165
"tweet_ 10862",245
"tweet_ 10863",187
"tweet_ 10864",197
"tweet_ 10865",153
"tweet_ 10866",89
"tweet_ 10867",134
"tweet_ 10868",181
"tweet_ 10869",201
"tweet_ 10870",174
"tweet_ 10871",47
"tweet_ 10872",199
"tweet_ 10873",165
"tweet_ 10874",20
"tweet_ 10875",192
"tweet_ 10876",152
"tweet_ 10877",49
"tweet_ 10878",71
"tweet_ 10879",163
"tweet_ 10880",130
"tweet_ 10881",2
"tweet_ 10882",14
"tweet_ 10883",157
"tweet_ 10884",17
"tweet_ 10885",186
"tweet_ 10886",84
"tweet_ 10887",172
"tweet_ 10888",64
"tweet_ 10889",19
"tweet_ 10890",212
"tweet_ 10891",88
"tweet_ 10892",95
"tweet_ 10893",72
"tweet_ 10894",129
"tweet_ 10895",165
"tweet_ 10896",242
"tweet_ 10897",236
"tweet_ 10898",12
"tweet_ 10899",18
"tweet_ 10900",266
"tweet_ 10901",90
"tweet_ 10902",81
"tweet_ 10903",244
"tweet_ 10904",113
"tweet_ 10905",19
"tweet_ 10906",172
"tweet_ 10907",201
"tweet_ 10908",118
"tweet_ 10909",102
"tweet_ 10910",242
"tweet_ 10911",154
"tweet_ 10912",126
"tweet_ 10913",136
"tweet_ 10914",197
"tweet_ 10915",207
"tweet_ 10916",90
"tweet_ 10917",224
"tweet_ 10918",252
"tweet_ 10919",181
"tweet_ 10920",58
"tweet_ 10921",133
"tweet_ 10922",140
"tweet_ 10923",89
"tweet_ 10924",227
"tweet_ 10925",148
"tweet_ 10926",236
"tweet_ 10927",75
"tweet_ 10928",205
"tweet_ 10929",49
"tweet_ 10930",48
"tweet_ 10931",212
"tweet_ 10932",140
"tweet_ 10933",100
"tweet_ 10934",263
"tweet_ 10935",93
"tweet_ 10936",118
"tweet_ 10937",237
"tweet_ 10938",131
"tweet_ 10939",19
"tweet_ 10940",140
"tweet_ 10941",132
"tweet_ 10942",28
"tweet_ 10943",55
"tweet_ 10944",2
"tweet_ 10945",103
"tweet_ 10946",59
"tweet_ 10947",224
"tweet_ 10948",200
"tweet_ 10949",154
"tweet_ 10950",147
"tweet_ 10951",205
"tweet_ 10952",27
"tweet_ 10953",106
"tweet_ 10954",47
"tweet_ 10955",152
"tweet_ 10956",27
"tweet_ 10957",109
"tweet_ 10958",75
"tweet_ 10959",244
"tweet_ 10960",49
"tweet_ 10961",79
"tweet_ 10962",125
"tweet_ 10963",154
"tweet_ 10964",207
"tweet_ 10965",227
"tweet_ 10966",119
"tweet_ 10967",212
"tweet_ 10968",72
"tweet_ 10969",232
"tweet_ 10970",243
"tweet_ 10971",13
"tweet_ 10972",85
"tweet_ 10973",143
"tweet_ 10974",89
"tweet_ 10975",89
"tweet_ 10976",169
"tweet_ 10977",5
"tweet_ 10978",158
"tweet_ 10979",205
"tweet_ 10980",19
"tweet_ 10981",212
"tweet_ 10982",212
"tweet_ 10983",230
"tweet_ 10984",265
"tweet_ 10985",215
"tweet_ 10986",70
"tweet_ 10987",242
"tweet_ 10988",15
"tweet_ 10989",242
"tweet_ 10990",160
"tweet_ 10991",133
"tweet_ 10992",227
"tweet_ 10993",125
"tweet_ 10994",136
"tweet_ 10995",12
"tweet_ 10996",190
"tweet_ 10997",170
"tweet_ 10998",153
"tweet_ 10999",18
"tweet_ 11000",90
"tweet_ 11001",17
"tweet_ 11002",130
"tweet_ 11003",34
"tweet_ 11004",22
"tweet_ 11005",158
"tweet_ 11006",131
"tweet_ 11007",191
"tweet_ 11008",6
"tweet_ 11009",101
"tweet_ 11010",102
"tweet_ 11011",30
"tweet_ 11012",110
"tweet_ 11013",188
"tweet_ 11014",226
"tweet_ 11015",44
"tweet_ 11016",247
"tweet_ 11017",21
"tweet_ 11018",216
"tweet_ 11019",13
"tweet_ 11020",85
"tweet_ 11021",44
"tweet_ 11022",97
"tweet_ 11023",30
"tweet_ 11024",163
"tweet_ 11025",176
"tweet_ 11026",39
"tweet_ 11027",48
"tweet_ 11028",182
"tweet_ 11029",57
"tweet_ 11030",229
"tweet_ 11031",77
"tweet_ 11032",58
"tweet_ 11033",106
"tweet_ 11034",148
"tweet_ 11035",106
"tweet_ 11036",147
"tweet_ 11037",192
"tweet_ 11038",110
"tweet_ 11039",136
"tweet_ 11040",31
"tweet_ 11041",119
"tweet_ 11042",106
"tweet_ 11043",123
"tweet_ 11044",47
"tweet_ 11045",34
"tweet_ 11046",113
"tweet_ 11047",87
"tweet_ 11048",57
"tweet_ 11049",171
"tweet_ 11050",108
"tweet_ 11051",205
"tweet_ 11052",80
"tweet_ 11053",233
"tweet_ 11054",265
"tweet_ 11055",129
"tweet_ 11056",95
"tweet_ 11057",40
"tweet_ 11058",28
"tweet_ 11059",154
"tweet_ 11060",67
"tweet_ 11061",193
"tweet_ 11062",38
"tweet_ 11063",48
"tweet_ 11064",80
"tweet_ 11065",6
"tweet_ 11066",38
"tweet_ 11067",157
"tweet_ 11068",220
"tweet_ 11069",123
"tweet_ 11070",123
"tweet_ 11071",80
"tweet_ 11072",154
"tweet_ 11073",5
"tweet_ 11074",79
"tweet_ 11075",176
"tweet_ 11076",136
"tweet_ 11077",257
"tweet_ 11078",154
"tweet_ 11079",265
"tweet_ 11080",47
"tweet_ 11081",190
"tweet_ 11082",146
"tweet_ 11083",55
"tweet_ 11084",188
"tweet_ 11085",246
"tweet_ 11086",92
"tweet_ 11087",163
"tweet_ 11088",30
"tweet_ 11089",224
"tweet_ 11090",153
"tweet_ 11091",54
"tweet_ 11092",5
"tweet_ 11093",222
"tweet_ 11094",215
"tweet_ 11095",95
"tweet_ 11096",130
"tweet_ 11097",205
"tweet_ 11098",192
"tweet_ 11099",126
"tweet_ 11100",220
"tweet_ 11101",75
"tweet_ 11102",177
"tweet_ 11103",90
"tweet_ 11104",72
"tweet_ 11105",215
"tweet_ 11106",172
"tweet_ 11107",57
"tweet_ 11108",165
"tweet_ 11109",2
"tweet_ 11110",89
"tweet_ 11111",194
"tweet_ 11112",70
"tweet_ 11113",208
"tweet_ 11114",79
"tweet_ 11115",252
"tweet_ 11116",196
"tweet_ 11117",204
"tweet_ 11118",224
"tweet_ 11119",215
"tweet_ 11120",205
"tweet_ 11121",79
"tweet_ 11122",39
"tweet_ 11123",236
"tweet_ 11124",253
"tweet_ 11125",160
"tweet_ 11126",133
"tweet_ 11127",201
"tweet_ 11128",45
"tweet_ 11129",253
"tweet_ 11130",154
"tweet_ 11131",2
"tweet_ 11132",10
"tweet_ 11133",177
"tweet_ 11134",152
"tweet_ 11135",242
"tweet_ 11136",141
"tweet_ 11137",235
"tweet_ 11138",13
"tweet_ 11139",144
"tweet_ 11140",208
"tweet_ 11141",113
"tweet_ 11142",242
"tweet_ 11143",45
"tweet_ 11144",254
"tweet_ 11145",12
"tweet_ 11146",222
"tweet_ 11147",70
"tweet_ 11148",119
"tweet_ 11149",57
"tweet_ 11150",91
"tweet_ 11151",240
"tweet_ 11152",249
"tweet_ 11153",129
"tweet_ 11154",51
"tweet_ 11155",14
"tweet_ 11156",229
"tweet_ 11157",161
"tweet_ 11158",111
"tweet_ 11159",197
"tweet_ 11160",111
"tweet_ 11161",220
"tweet_ 11162",162
"tweet_ 11163",67
"tweet_ 11164",158
"tweet_ 11165",187
"tweet_ 11166",27
"tweet_ 11167",264
"tweet_ 11168",81
"tweet_ 11169",15
"tweet_ 11170",126
"tweet_ 11171",91
"tweet_ 11172",176
"tweet_ 11173",153
"tweet_ 11174",64
"tweet_ 11175",230
"tweet_ 11176",243
"tweet_ 11177",265
"tweet_ 11178",200
"tweet_ 11179",180
"tweet_ 11180",186
"tweet_ 11181",140
"tweet_ 11182",182
"tweet_ 11183",130
"tweet_ 11184",89
"tweet_ 11185",199
"tweet_ 11186",36
"tweet_ 11187",200
"tweet_ 11188",171
"tweet_ 11189",93
"tweet_ 11190",23
"tweet_ 11191",250
"tweet_ 11192",233
"tweet_ 11193",28
"tweet_ 11194",110
"tweet_ 11195",58
"tweet_ 11196",236
"tweet_ 11197",34
"tweet_ 11198",87
"tweet_ 11199",231
"tweet_ 11200",181
"tweet_ 11201",184
"tweet_ 11202",178
"tweet_ 11203",79
"tweet_ 11204",174
"tweet_ 11205",204
"tweet_ 11206",237
"tweet_ 11207",45
"tweet_ 11208",49
"tweet_ 11209",236
"tweet_ 11210",36
"tweet_ 11211",27
"tweet_ 11212",130
"tweet_ 11213",116
"tweet_ 11214",109
"tweet_ 11215",80
"tweet_ 11216",165
"tweet_ 11217",113
"tweet_ 11218",154
"tweet_ 11219",195
"tweet_ 11220",158
"tweet_ 11221",219
"tweet_ 11222",164
"tweet_ 11223",161
"tweet_ 11224",7
"tweet_ 11225",224
"tweet_ 11226",268
"tweet_ 11227",220
"tweet_ 11228",201
"tweet_ 11229",172
"tweet_ 11230",268
"tweet_ 11231",8
"tweet_ 11232",170
"tweet_ 11233",228
"tweet_ 11234",163
"tweet_ 11235",51
"tweet_ 11236",7
"tweet_ 11237",227
"tweet_ 11238",167
"tweet_ 11239",145
"tweet_ 11240",172
"tweet_ 11241",212
"tweet_ 11242",38
"tweet_ 11243",167
"tweet_ 11244",161
"tweet_ 11245",165
"tweet_ 11246",205
"tweet_ 11247",113
"tweet_ 11248",87
"tweet_ 11249",70
"tweet_ 11250",13
"tweet_ 11251",19
"tweet_ 11252",84
"tweet_ 11253",110
"tweet_ 11254",35
"tweet_ 11255",157
"tweet_ 11256",130
"tweet_ 11257",158
"tweet_ 11258",79
"tweet_ 11259",209
"tweet_ 11260",34
"tweet_ 11261",145
"tweet_ 11262",192
"tweet_ 11263",224
"tweet_ 11264",49
"tweet_ 11265",250
"tweet_ 11266",58
"tweet_ 11267",36
"tweet_ 11268",126
"tweet_ 11269",39
"tweet_ 11270",47
"tweet_ 11271",244
"tweet_ 11272",182
"tweet_ 11273",225
"tweet_ 11274",95
"tweet_ 11275",232
"tweet_ 11276",233
"tweet_ 11277",94
"tweet_ 11278",170
"tweet_ 11279",186
"tweet_ 11280",204
"tweet_ 11281",22
"tweet_ 11282",171
"tweet_ 11283",77
"tweet_ 11284",45
"tweet_ 11285",235
"tweet_ 11286",200
"tweet_ 11287",45
"tweet_ 11288",209
"tweet_ 11289",104
"tweet_ 11290",186
"tweet_ 11291",30
"tweet_ 11292",176
"tweet_ 11293",19
"tweet_ 11294",245
"tweet_ 11295",42
"tweet_ 11296",224
"tweet_ 11297",89
"tweet_ 11298",58
"tweet_ 11299",67
"tweet_ 11300",38
"tweet_ 11301",147
"tweet_ 11302",91
"tweet_ 11303",57
"tweet_ 11304",175
"tweet_ 11305",182
"tweet_ 11306",113
"tweet_ 11307",27
"tweet_ 11308",246
"tweet_ 11309",28
"tweet_ 11310",188
"tweet_ 11311",45
"tweet_ 11312",220
"tweet_ 11313",219
"tweet_ 11314",240
"tweet_ 11315",9
"tweet_ 11316",222
"tweet_ 11317",236
"tweet_ 11318",9
"tweet_ 11319",176
"tweet_ 11320",147
"tweet_ 11321",237
"tweet_ 11322",237
"tweet_ 11323",128
"tweet_ 11324",118
"tweet_ 11325",161
"tweet_ 11326",166
"tweet_ 11327",139
"tweet_ 11328",89
"tweet_ 11329",207
"tweet_ 11330",113
"tweet_ 11331",49
"tweet_ 11332",140
"tweet_ 11333",230
"tweet_ 11334",116
"tweet_ 11335",48
"tweet_ 11336",12
"tweet_ 11337",12
"tweet_ 11338",80
"tweet_ 11339",20
"tweet_ 11340",95
"tweet_ 11341",22
"tweet_ 11342",157
"tweet_ 11343",80
"tweet_ 11344",154
"tweet_ 11345",33
"tweet_ 11346",153
"tweet_ 11347",93
"tweet_ 11348",236
"tweet_ 11349",231
"tweet_ 11350",112
"tweet_ 11351",90
"tweet_ 11352",16
"tweet_ 11353",198
"tweet_ 11354",88
"tweet_ 11355",39
"tweet_ 11356",25
"tweet_ 11357",247
"tweet_ 11358",31
"tweet_ 11359",203
"tweet_ 11360",174
"tweet_ 11361",215
"tweet_ 11362",158
"tweet_ 11363",231
"tweet_ 11364",248
"tweet_ 11365",27
"tweet_ 11366",132
"tweet_ 11367",45
"tweet_ 11368",201
"tweet_ 11369",60
"tweet_ 11370",79
"tweet_ 11371",177
"tweet_ 11372",204
"tweet_ 11373",65
"tweet_ 11374",14
"tweet_ 11375",55
"tweet_ 11376",125
"tweet_ 11377",161
"tweet_ 11378",87
"tweet_ 11379",264
"tweet_ 11380",196
"tweet_ 11381",223
"tweet_ 11382",257
"tweet_ 11383",166
"tweet_ 11384",51
"tweet_ 11385",205
"tweet_ 11386",87
"tweet_ 11387",58
"tweet_ 11388",231
"tweet_ 11389",113
"tweet_ 11390",213
"tweet_ 11391",242
"tweet_ 11392",49
"tweet_ 11393",48
"tweet_ 11394",90
"tweet_ 11395",186
"tweet_ 11396",194
"tweet_ 11397",200
"tweet_ 11398",129
"tweet_ 11399",205
"tweet_ 11400",139
"tweet_ 11401",230
"tweet_ 11402",237
"tweet_ 11403",163
"tweet_ 11404",199
"tweet_ 11405",36
"tweet_ 11406",169
"tweet_ 11407",198
"tweet_ 11408",257
"tweet_ 11409",79
"tweet_ 11410",9
"tweet_ 11411",169
"tweet_ 11412",218
"tweet_ 11413",49
"tweet_ 11414",37
"tweet_ 11415",184
"tweet_ 11416",116
"tweet_ 11417",70
"tweet_ 11418",208
"tweet_ 11419",208
"tweet_ 11420",71
"tweet_ 11421",150
"tweet_ 11422",19
"tweet_ 11423",215
"tweet_ 11424",54
"tweet_ 11425",62
"tweet_ 11426",232
"tweet_ 11427",80
"tweet_ 11428",47
"tweet_ 11429",196
"tweet_ 11430",201
"tweet_ 11431",177
"tweet_ 11432",90
"tweet_ 11433",47
"tweet_ 11434",152
"tweet_ 11435",85
"tweet_ 11436",28
"tweet_ 11437",205
"tweet_ 11438",130
"tweet_ 11439",232
"tweet_ 11440",85
"tweet_ 11441",57
"tweet_ 11442",204
"tweet_ 11443",221
"tweet_ 11444",93
"tweet_ 11445",49
"tweet_ 11446",8
"tweet_ 11447",233
"tweet_ 11448",28
"tweet_ 11449",106
"tweet_ 11450",175
"tweet_ 11451",45
"tweet_ 11452",15
"tweet_ 11453",200
"tweet_ 11454",183
"tweet_ 11455",153
"tweet_ 11456",239
"tweet_ 11457",245
"tweet_ 11458",5
"tweet_ 11459",245
"tweet_ 11460",224
"tweet_ 11461",111
"tweet_ 11462",138
"tweet_ 11463",90
"tweet_ 11464",34
"tweet_ 11465",264
"tweet_ 11466",162
"tweet_ 11467",76
"tweet_ 11468",104
"tweet_ 11469",21
"tweet_ 11470",236
"tweet_ 11471",201
"tweet_ 11472",79
"tweet_ 11473",65
"tweet_ 11474",36
"tweet_ 11475",34
"tweet_ 11476",218
"tweet_ 11477",119
"tweet_ 11478",100
"tweet_ 11479",263
"tweet_ 11480",90
"tweet_ 11481",80
"tweet_ 11482",45
"tweet_ 11483",189
"tweet_ 11484",198
"tweet_ 11485",35
"tweet_ 11486",51
"tweet_ 11487",162
"tweet_ 11488",32
"tweet_ 11489",165
"tweet_ 11490",70
"tweet_ 11491",208
"tweet_ 11492",157
"tweet_ 11493",145
"tweet_ 11494",176
"tweet_ 11495",106
"tweet_ 11496",231
"tweet_ 11497",36
"tweet_ 11498",215
"tweet_ 11499",93
"tweet_ 11500",73
"tweet_ 11501",17
"tweet_ 11502",39
"tweet_ 11503",204
"tweet_ 11504",109
"tweet_ 11505",225
"tweet_ 11506",19
"tweet_ 11507",88
"tweet_ 11508",27
"tweet_ 11509",19
"tweet_ 11510",152
"tweet_ 11511",220
"tweet_ 11512",145
"tweet_ 11513",158
"tweet_ 11514",215
"tweet_ 11515",151
"tweet_ 11516",197
"tweet_ 11517",230
"tweet_ 11518",106
"tweet_ 11519",109
"tweet_ 11520",241
"tweet_ 11521",242
"tweet_ 11522",233
"tweet_ 11523",167
"tweet_ 11524",47
"tweet_ 11525",244
"tweet_ 11526",186
"tweet_ 11527",79
"tweet_ 11528",78
"tweet_ 11529",45
"tweet_ 11530",123
"tweet_ 11531",182
"tweet_ 11532",58
"tweet_ 11533",230
"tweet_ 11534",45
"tweet_ 11535",85
"tweet_ 11536",87
"tweet_ 11537",182
"tweet_ 11538",146
"tweet_ 11539",237
"tweet_ 11540",113
"tweet_ 11541",233
"tweet_ 11542",64
"tweet_ 11543",167
"tweet_ 11544",130
"tweet_ 11545",58
"tweet_ 11546",203
"tweet_ 11547",186
"tweet_ 11548",242
"tweet_ 11549",95
"tweet_ 11550",247
"tweet_ 11551",5
"tweet_ 11552",210
"tweet_ 11553",100
"tweet_ 11554",140
"tweet_ 11555",9
"tweet_ 11556",252
"tweet_ 11557",171
"tweet_ 11558",220
"tweet_ 11559",247
"tweet_ 11560",71
"tweet_ 11561",232
"tweet_ 11562",13
"tweet_ 11563",161
"tweet_ 11564",48
"tweet_ 11565",113
"tweet_ 11566",152
"tweet_ 11567",72
"tweet_ 11568",76
"tweet_ 11569",110
"tweet_ 11570",195
"tweet_ 11571",130
"tweet_ 11572",197
"tweet_ 11573",77
"tweet_ 11574",7
"tweet_ 11575",9
"tweet_ 11576",42
"tweet_ 11577",174
"tweet_ 11578",72
"tweet_ 11579",54
"tweet_ 11580",176
"tweet_ 11581",10
"tweet_ 11582",94
"tweet_ 11583",34
"tweet_ 11584",22
"tweet_ 11585",162
"tweet_ 11586",152
"tweet_ 11587",147
"tweet_ 11588",90
"tweet_ 11589",186
"tweet_ 11590",192
"tweet_ 11591",125
"tweet_ 11592",13
"tweet_ 11593",230
"tweet_ 11594",45
"tweet_ 11595",122
"tweet_ 11596",188
"tweet_ 11597",45
"tweet_ 11598",166
"tweet_ 11599",229
"tweet_ 11600",45
"tweet_ 11601",110
"tweet_ 11602",245
"tweet_ 11603",45
"tweet_ 11604",65
"tweet_ 11605",237
"tweet_ 11606",231
"tweet_ 11607",146
"tweet_ 11608",27
"tweet_ 11609",40
"tweet_ 11610",49
"tweet_ 11611",153
"tweet_ 11612",222
"tweet_ 11613",109
"tweet_ 11614",199
"tweet_ 11615",229
"tweet_ 11616",162
"tweet_ 11617",180
"tweet_ 11618",145
"tweet_ 11619",245
"tweet_ 11620",237
"tweet_ 11621",49
"tweet_ 11622",196
"tweet_ 11623",188
"tweet_ 11624",67
"tweet_ 11625",204
"tweet_ 11626",199
"tweet_ 11627",79
"tweet_ 11628",64
"tweet_ 11629",39
"tweet_ 11630",247
"tweet_ 11631",152
"tweet_ 11632",97
"tweet_ 11633",175
"tweet_ 11634",94
"tweet_ 11635",65
"tweet_ 11636",176
"tweet_ 11637",180
"tweet_ 11638",173
"tweet_ 11639",227
"tweet_ 11640",268
"tweet_ 11641",27
"tweet_ 11642",131
"tweet_ 11643",161
"tweet_ 11644",18
"tweet_ 11645",220
"tweet_ 11646",130
"tweet_ 11647",235
"tweet_ 11648",133
"tweet_ 11649",29
"tweet_ 11650",51
"tweet_ 11651",102
"tweet_ 11652",161
"tweet_ 11653",90
"tweet_ 11654",95
"tweet_ 11655",109
"tweet_ 11656",191
"tweet_ 11657",224
"tweet_ 11658",237
"tweet_ 11659",95
"tweet_ 11660",218
"tweet_ 11661",40
"tweet_ 11662",170
"tweet_ 11663",18
"tweet_ 11664",252
"tweet_ 11665",169
"tweet_ 11666",22
"tweet_ 11667",260
"tweet_ 11668",125
"tweet_ 11669",31
"tweet_ 11670",242
"tweet_ 11671",215
"tweet_ 11672",245
"tweet_ 11673",63
"tweet_ 11674",223
"tweet_ 11675",242
"tweet_ 11676",212
"tweet_ 11677",160
"tweet_ 11678",102
"tweet_ 11679",244
"tweet_ 11680",112
"tweet_ 11681",28
"tweet_ 11682",81
"tweet_ 11683",217
"tweet_ 11684",161
"tweet_ 11685",44
"tweet_ 11686",224
"tweet_ 11687",233
"tweet_ 11688",163
"tweet_ 11689",29
"tweet_ 11690",248
"tweet_ 11691",44
"tweet_ 11692",231
"tweet_ 11693",209
"tweet_ 11694",72
"tweet_ 11695",55
"tweet_ 11696",113
"tweet_ 11697",50
"tweet_ 11698",34
"tweet_ 11699",242
"tweet_ 11700",79
"tweet_ 11701",237
"tweet_ 11702",78
"tweet_ 11703",234
"tweet_ 11704",78
"tweet_ 11705",130
"tweet_ 11706",243
"tweet_ 11707",94
"tweet_ 11708",70
"tweet_ 11709",63
"tweet_ 11710",93
"tweet_ 11711",200
"tweet_ 11712",268
"tweet_ 11713",252
"tweet_ 11714",191
"tweet_ 11715",250
"tweet_ 11716",237
"tweet_ 11717",207
"tweet_ 11718",165
"tweet_ 11719",224
"tweet_ 11720",172
"tweet_ 11721",220
"tweet_ 11722",153
